Model,Accuracy,Precision,Recall,F1,AUC
Random Forest,0.732824427480916,0.802547770700637,0.7636363636363637,0.782608695652174,0.7863792564823493
Logistic Regression,0.7595419847328244,0.7712765957446809,0.8787878787878788,0.8215297450424929,0.7868791002811621
Gradient Boosting,0.7022900763358778,0.7485714285714286,0.793939393939394,0.7705882352941177,0.7404561074664167
SVM,0.7022900763358778,0.7806451612903226,0.7333333333333333,0.75625,0.7691971258981568
XGBoost,0.7099236641221374,0.7486033519553073,0.8121212121212121,0.7790697674418605,0.7359575132771009
