Model,Accuracy,Precision,Recall,F1
XGBoost,0.6977611940298507,0.7348066298342542,0.8012048192771084,0.7665706051873199
Gradient Boosting,0.6977611940298507,0.73224043715847,0.8072289156626506,0.7679083094555874
SVM,0.667910447761194,0.7583892617449665,0.6807228915662651,0.7174603174603175
Random Forest,0.6977611940298507,0.7639751552795031,0.7409638554216867,0.7522935779816514
Logistic Regression,0.6753731343283582,0.7182320441988951,0.7831325301204819,0.7492795389048992
