Model,Accuracy,Precision,Recall,F1
SVM,0.7061068702290076,0.7588235294117647,0.7818181818181819,0.7701492537313432
Logistic Regression,0.683206106870229,0.8106060606060606,0.6484848484848484,0.7205387205387206
XGBoost,0.6755725190839694,0.7298850574712644,0.7696969696969697,0.7492625368731564
Gradient Boosting,0.6793893129770993,0.697560975609756,0.8666666666666667,0.772972972972973
Random Forest,0.6755725190839694,0.7597402597402597,0.7090909090909091,0.7335423197492164
