Model,Accuracy,Precision,Recall,F1,AUC
Random Forest,0.732824427480916,0.7745664739884393,0.8121212121212121,0.7928994082840237,0.7870040612308653
Logistic Regression,0.7366412213740458,0.8287671232876712,0.7333333333333333,0.7781350482315113,0.7828178694158074
Gradient Boosting,0.7442748091603053,0.7474747474747475,0.896969696969697,0.8154269972451791,0.7793189628241175
SVM,0.6984732824427481,0.7654320987654321,0.7515151515151515,0.7584097859327217,0.7683223992502343
XGBoost,0.7557251908396947,0.7563451776649747,0.9030303030303031,0.8232044198895028,0.787378944079975
