Model,Accuracy,Precision,Recall,F1,AUC
Random Forest,0.6679389312977099,0.756578947368421,0.696969696969697,0.7255520504731862,0.7150265542018119
Logistic Regression,0.7022900763358778,0.8320610687022901,0.6606060606060606,0.7364864864864865,0.7563261480787254
Gradient Boosting,0.6793893129770993,0.7341040462427746,0.7696969696969697,0.7514792899408284,0.7286472977194627
SVM,0.6755725190839694,0.7985074626865671,0.6484848484848484,0.7157190635451505,0.7438300531084037
XGBoost,0.6755725190839694,0.7222222222222222,0.7878787878787878,0.7536231884057971,0.7332083723836301
