Model,Accuracy,Precision,Recall,F1
SVM,0.6908396946564885,0.78,0.7090909090909091,0.7428571428571429
Logistic Regression,0.7022900763358778,0.7636363636363637,0.7636363636363637,0.7636363636363637
XGBoost,0.6717557251908397,0.7231638418079096,0.7757575757575758,0.7485380116959064
Gradient Boosting,0.6793893129770993,0.7120418848167539,0.8242424242424242,0.7640449438202247
Random Forest,0.6641221374045801,0.727810650887574,0.7454545454545455,0.7365269461077845
